iter=470, S=[5212, 31327], exptime=5157921.0
iter=471, S=[5161, 31347], exptime=5261616.0
iter=472, S=[5161, 31347], exptime=5261616.0
iter=473, S=[5036, 31148], exptime=5658740.0
iter=474, S=[4991, 31187], exptime=5680888.0
iter=475, S=[5128, 31366], exptime=5354344.0
iter=476, S=[5128, 31366], exptime=5354344.0
iter=477, S=[5190, 31440], exptime=5437606.0
iter=478, S=[5105, 31586], exptime=5494500.0
iter=479, S=[5111, 31733], exptime=5356886.0
iter=480, S=[5111, 31733], exptime=5356886.0
iter=481, S=[5149, 31651], exptime=5489756.0
iter=482, S=[5059, 31576], exptime=5667200.0
iter=483, S=[4900, 31576], exptime=5715060.0
iter=484, S=[5038, 31626], exptime=5726732.0
iter=485, S=[5184, 31729], exptime=5756248.0
iter=486, S=[5251, 31899], exptime=5610776.0
iter=487, S=[5247, 31765], exptime=5423900.0
iter=488, S=[5220, 31787], exptime=5995944.0
iter=489, S=[5386, 31741], exptime=5440029.0
iter=490, S=[5386, 31741], exptime=5440029.0
iter=491, S=[5556, 31689], exptime=5569050.0
iter=492, S=[5439, 31793], exptime=5437770.0
iter=493, S=[5399, 31610], exptime=5361408.0
iter=494, S=[5515, 31468], exptime=5292287.0
iter=495, S=[5387, 31270], exptime=5214603.0
iter=496, S=[5255, 31198], exptime=5535207.0
iter=497, S=[5433, 31260], exptime=5504403.0
iter=498, S=[5416, 31417], exptime=5173713.0
iter=499, S=[5394, 31528], exptime=5414451.0
iter=500, S=[5394, 31528], exptime=5414451.0
iter=501, S=[5352, 31579], exptime=5058314.0
iter=502, S=[5521, 31606], exptime=5613512.0
iter=503, S=[5484, 31441], exptime=5494796.0
iter=504, S=[5495, 31612], exptime=5280275.0
iter=505, S=[5453, 31571], exptime=5343408.0
iter=506, S=[5413, 31458], exptime=5442528.0
iter=507, S=[5600, 31503], exptime=5567521.0
iter=508, S=[5682, 31594], exptime=5342832.0
iter=509, S=[5857, 31523], exptime=5591400.0
iter=510, S=[5889, 31632], exptime=5569620.0
iter=511, S=[5922, 31660], exptime=5215419.0
iter=512, S=[5740, 31834], exptime=5261480.0
iter=513, S=[5677, 31994], exptime=5297934.0
iter=514, S=[5506, 32110], exptime=5311611.0
iter=515, S=[5506, 32110], exptime=5311611.0
iter=516, S=[5442, 31937], exptime=5379088.0
iter=517, S=[5442, 31937], exptime=5379088.0
iter=518, S=[5563, 31831], exptime=5569471.0
iter=519, S=[5586, 31668], exptime=5422130.0
iter=520, S=[5642, 31721], exptime=5439084.0
iter=521, S=[5577, 31653], exptime=5454998.0
iter=522, S=[5710, 31624], exptime=5361120.0
iter=523, S=[5717, 31427], exptime=4853420.0
iter=524, S=[5566, 31295], exptime=5051584.0
iter=525, S=[5536, 31294], exptime=5455428.0
iter=526, S=[5610, 31249], exptime=5045710.0
iter=527, S=[5610, 31249], exptime=5045710.0
iter=528, S=[5725, 31209], exptime=5344555.0
iter=529, S=[5840, 31351], exptime=5207694.0
iter=530, S=[5840, 31351], exptime=5207694.0
iter=531, S=[5770, 31367], exptime=5504268.0
iter=532, S=[5663, 31217], exptime=5162043.0
iter=533, S=[5561, 31120], exptime=5163200.0
iter=534, S=[5561, 31120], exptime=5163200.0
iter=535, S=[5614, 30937], exptime=4878573.0
iter=536, S=[5614, 30937], exptime=4878573.0
iter=537, S=[5581, 30830], exptime=5190242.0
iter=538, S=[5720, 30766], exptime=5316006.0
iter=539, S=[5851, 30746], exptime=5217498.0
